outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2012-13,North Carolina,0.06166,0.049892,0.075982
Marijuana Use in the Past Month,12 or Older,2012-13,North Dakota,0.051873,0.042258,0.063532
Marijuana Use in the Past Month,12 or Older,2012-13,Ohio,0.076023,0.068915,0.083797
Marijuana Use in the Past Month,12 or Older,2012-13,Oklahoma,0.055637,0.044172,0.069859
Marijuana Use in the Past Month,12 or Older,2012-13,Oregon,0.119179,0.100605,0.140646
Marijuana Use in the Past Month,12 or Older,2012-13,Pennsylvania,0.064573,0.058076,0.071741
Marijuana Use in the Past Month,12 or Older,2012-13,Rhode Island,0.140788,0.121308,0.162816
Marijuana Use in the Past Month,12 or Older,2012-13,South Carolina,0.068662,0.056073,0.083828
Marijuana Use in the Past Month,12 or Older,2012-13,South Dakota,0.050276,0.040248,0.062638
Marijuana Use in the Past Month,12 or Older,2012-13,Tennessee,0.05423,0.043726,0.06708
Marijuana Use in the Past Month,12 or Older,2012-13,Texas,0.053106,0.047278,0.059608
Marijuana Use in the Past Month,12 or Older,2012-13,Utah,0.05072,0.040527,0.063307
Marijuana Use in the Past Month,12 or Older,2012-13,Vermont,0.117588,0.100391,0.137282
Marijuana Use in the Past Month,12 or Older,2012-13,Virginia,0.062864,0.051182,0.076998
Marijuana Use in the Past Month,12 or Older,2012-13,Washington,0.122785,0.105838,0.142014
Marijuana Use in the Past Month,12 or Older,2012-13,West Virginia,0.050664,0.040927,0.062567
Marijuana Use in the Past Month,12 or Older,2012-13,Wisconsin,0.064898,0.053114,0.079078
Marijuana Use in the Past Month,12 or Older,2012-13,Wyoming,0.058249,0.046686,0.072459
Marijuana Use in the Past Month,12 or Older,2013-14,Alabama,0.055683,0.045086,0.068591
Marijuana Use in the Past Month,12 or Older,2013-14,Alaska,0.118542,0.101436,0.13809
Marijuana Use in the Past Month,12 or Older,2013-14,Arizona,0.087951,0.073447,0.104995
Marijuana Use in the Past Month,12 or Older,2013-14,Arkansas,0.067021,0.0554,0.08087
Marijuana Use in the Past Month,12 or Older,2013-14,California,0.092035,0.084589,0.100064
Marijuana Use in the Past Month,12 or Older,2013-14,Colorado,0.149266,0.130265,0.170495
Marijuana Use in the Past Month,12 or Older,2013-14,Connecticut,0.084977,0.0708,0.101683
Marijuana Use in the Past Month,12 or Older,2013-14,Delaware,0.082261,0.068975,0.097837
Marijuana Use in the Past Month,12 or Older,2013-14,District of Columbia,0.125989,0.108418,0.145941
Marijuana Use in the Past Month,12 or Older,2013-14,Florida,0.075825,0.068427,0.08395
Marijuana Use in the Past Month,12 or Older,2013-14,Georgia,0.077631,0.065017,0.092449
Marijuana Use in the Past Month,12 or Older,2013-14,Hawaii,0.079016,0.064538,0.096406
Marijuana Use in the Past Month,12 or Older,2013-14,Idaho,0.063413,0.052632,0.076226
Marijuana Use in the Past Month,12 or Older,2013-14,Illinois,0.076397,0.068946,0.08458
Marijuana Use in the Past Month,12 or Older,2013-14,Indiana,0.075267,0.06337,0.089184
Marijuana Use in the Past Month,12 or Older,2013-14,Iowa,0.050183,0.040246,0.062414
Marijuana Use in the Past Month,12 or Older,2013-14,Kansas,0.063378,0.05215,0.076826
Marijuana Use in the Past Month,12 or Older,2013-14,Kentucky,0.067482,0.055391,0.081984
Marijuana Use in the Past Month,12 or Older,2013-14,Louisiana,0.06114,0.050119,0.074396
Marijuana Use in the Past Month,12 or Older,2013-14,Maine,0.126692,0.108095,0.147958
Marijuana Use in the Past Month,12 or Older,2013-14,Maryland,0.085545,0.072168,0.101131
Marijuana Use in the Past Month,12 or Older,2013-14,Massachusetts,0.117471,0.1009,0.136352
Marijuana Use in the Past Month,12 or Older,2013-14,Michigan,0.101826,0.092915,0.111487
Marijuana Use in the Past Month,12 or Older,2013-14,Minnesota,0.072801,0.060749,0.087024
Marijuana Use in the Past Month,12 or Older,2013-14,Mississippi,0.058463,0.04818,0.070778
Marijuana Use in the Past Month,12 or Older,2013-14,Missouri,0.079779,0.066133,0.095952
Marijuana Use in the Past Month,12 or Older,2013-14,Montana,0.100356,0.084653,0.118594
Marijuana Use in the Past Month,12 or Older,2013-14,Nebraska,0.057856,0.047657,0.070077
Marijuana Use in the Past Month,12 or Older,2013-14,Nevada,0.077644,0.063825,0.094154
Marijuana Use in the Past Month,12 or Older,2013-14,New Hampshire,0.115051,0.099214,0.133042
Marijuana Use in the Past Month,12 or Older,2013-14,New Jersey,0.063006,0.052405,0.075581
Marijuana Use in the Past Month,12 or Older,2013-14,New Mexico,0.095566,0.079502,0.114474
Marijuana Use in the Past Month,12 or Older,2013-14,New York,0.08523,0.077343,0.09384
Marijuana Use in the Past Month,12 or Older,2013-14,North Carolina,0.067033,0.055436,0.080849
Marijuana Use in the Past Month,12 or Older,2013-14,North Dakota,0.057749,0.047838,0.069565
Marijuana Use in the Past Month,12 or Older,2013-14,Ohio,0.069292,0.062056,0.077301
Marijuana Use in the Past Month,12 or Older,2013-14,Oklahoma,0.062228,0.05048,0.076489
Marijuana Use in the Past Month,12 or Older,2013-14,Oregon,0.123831,0.106034,0.144133
Marijuana Use in the Past Month,12 or Older,2013-14,Pennsylvania,0.072811,0.06566,0.080674
Marijuana Use in the Past Month,12 or Older,2013-14,Rhode Island,0.127531,0.110185,0.147156
Marijuana Use in the Past Month,12 or Older,2013-14,South Carolina,0.065725,0.054065,0.079689
Marijuana Use in the Past Month,12 or Older,2013-14,South Dakota,0.048111,0.038932,0.059321
Marijuana Use in the Past Month,12 or Older,2013-14,Tennessee,0.055431,0.04511,0.067946
Marijuana Use in the Past Month,12 or Older,2013-14,Texas,0.059404,0.053433,0.065995
Marijuana Use in the Past Month,12 or Older,2013-14,Utah,0.055826,0.045338,0.068568
Marijuana Use in the Past Month,12 or Older,2013-14,Vermont,0.132388,0.114488,0.152604
Marijuana Use in the Past Month,12 or Older,2013-14,Virginia,0.068591,0.057653,0.081426
Marijuana Use in the Past Month,12 or Older,2013-14,Washington,0.127916,0.110311,0.147863
Marijuana Use in the Past Month,12 or Older,2013-14,West Virginia,0.063033,0.051888,0.07638
Marijuana Use in the Past Month,12 or Older,2013-14,Wisconsin,0.064597,0.052975,0.078557
Marijuana Use in the Past Month,12 or Older,2013-14,Wyoming,0.063163,0.051696,0.076968
Marijuana Use in the Past Month,12 or Older,2014-15,Alabama,0.053491,0.044087,0.064764
Marijuana Use in the Past Month,12 or Older,2014-15,Alaska,0.143758,0.126149,0.163367
Marijuana Use in the Past Month,12 or Older,2014-15,Arizona,0.085059,0.072252,0.099893
Marijuana Use in the Past Month,12 or Older,2014-15,Arkansas,0.071738,0.060091,0.085438
Marijuana Use in the Past Month,12 or Older,2014-15,California,0.096743,0.089839,0.104115
Marijuana Use in the Past Month,12 or Older,2014-15,Colorado,0.165651,0.145982,0.187389
Marijuana Use in the Past Month,12 or Older,2014-15,Connecticut,0.09594,0.08208,0.111854
Marijuana Use in the Past Month,12 or Older,2014-15,Delaware,0.080493,0.068338,0.094591
Marijuana Use in the Past Month,12 or Older,2014-15,District of Columbia,0.119275,0.103635,0.136915
Marijuana Use in the Past Month,12 or Older,2014-15,Florida,0.077839,0.070687,0.085647
Marijuana Use in the Past Month,12 or Older,2014-15,Georgia,0.077879,0.068118,0.088905
Marijuana Use in the Past Month,12 or Older,2014-15,Hawaii,0.079464,0.066469,0.09474
Marijuana Use in the Past Month,12 or Older,2014-15,Idaho,0.063437,0.052965,0.075814
Marijuana Use in the Past Month,12 or Older,2014-15,Illinois,0.079128,0.070876,0.08825
Marijuana Use in the Past Month,12 or Older,2014-15,Indiana,0.087165,0.074427,0.101843
Marijuana Use in the Past Month,12 or Older,2014-15,Iowa,0.047781,0.038748,0.058792
Marijuana Use in the Past Month,12 or Older,2014-15,Kansas,0.07281,0.061285,0.086303
Marijuana Use in the Past Month,12 or Older,2014-15,Kentucky,0.070607,0.059289,0.083893
Marijuana Use in the Past Month,12 or Older,2014-15,Louisiana,0.063201,0.052688,0.075644
Marijuana Use in the Past Month,12 or Older,2014-15,Maine,0.136627,0.117886,0.157814
Marijuana Use in the Past Month,12 or Older,2014-15,Maryland,0.096228,0.082219,0.112332
Marijuana Use in the Past Month,12 or Older,2014-15,Massachusetts,0.116825,0.101306,0.134365
Marijuana Use in the Past Month,12 or Older,2014-15,Michigan,0.100799,0.091472,0.11096
Marijuana Use in the Past Month,12 or Older,2014-15,Minnesota,0.075957,0.063278,0.090929
Marijuana Use in the Past Month,12 or Older,2014-15,Mississippi,0.053546,0.043741,0.065399
Marijuana Use in the Past Month,12 or Older,2014-15,Missouri,0.080198,0.067702,0.094768
Marijuana Use in the Past Month,12 or Older,2014-15,Montana,0.110929,0.095547,0.128437
Marijuana Use in the Past Month,12 or Older,2014-15,Nebraska,0.062856,0.051982,0.075822
Marijuana Use in the Past Month,12 or Older,2014-15,Nevada,0.078055,0.06434,0.0944
Marijuana Use in the Past Month,12 or Older,2014-15,New Hampshire,0.120606,0.104781,0.138452
Marijuana Use in the Past Month,12 or Older,2014-15,New Jersey,0.070053,0.060645,0.080794
Marijuana Use in the Past Month,12 or Older,2014-15,New Mexico,0.10136,0.085966,0.11915
Marijuana Use in the Past Month,12 or Older,2014-15,New York,0.095585,0.0878,0.103981
Marijuana Use in the Past Month,12 or Older,2014-15,North Carolina,0.072937,0.063182,0.084063
Marijuana Use in the Past Month,12 or Older,2014-15,North Dakota,0.059471,0.049638,0.071107
Marijuana Use in the Past Month,12 or Older,2014-15,Ohio,0.076502,0.068737,0.085064
Marijuana Use in the Past Month,12 or Older,2014-15,Oklahoma,0.062427,0.051303,0.075771
Marijuana Use in the Past Month,12 or Older,2014-15,Oregon,0.127284,0.11127,0.145226
Marijuana Use in the Past Month,12 or Older,2014-15,Pennsylvania,0.077298,0.069381,0.086034
Marijuana Use in the Past Month,12 or Older,2014-15,Rhode Island,0.130232,0.112545,0.150227
Marijuana Use in the Past Month,12 or Older,2014-15,South Carolina,0.081129,0.069204,0.094899
Marijuana Use in the Past Month,12 or Older,2014-15,South Dakota,0.069349,0.058088,0.082601
Marijuana Use in the Past Month,12 or Older,2014-15,Tennessee,0.063364,0.052476,0.076328
Marijuana Use in the Past Month,12 or Older,2014-15,Texas,0.060952,0.054947,0.067567
Marijuana Use in the Past Month,12 or Older,2014-15,Utah,0.050415,0.041421,0.061238
Marijuana Use in the Past Month,12 or Older,2014-15,Vermont,0.147414,0.13022,0.166443
Marijuana Use in the Past Month,12 or Older,2014-15,Virginia,0.066262,0.057356,0.076438
Marijuana Use in the Past Month,12 or Older,2014-15,Washington,0.112167,0.096152,0.130464
Marijuana Use in the Past Month,12 or Older,2014-15,West Virginia,0.069199,0.057677,0.08282
Marijuana Use in the Past Month,12 or Older,2014-15,Wisconsin,0.068916,0.057407,0.08253
Marijuana Use in the Past Month,12 or Older,2014-15,Wyoming,0.063231,0.052285,0.076283
Marijuana Use in the Past Month,12 or Older,2015-16,Alabama,0.052497,0.043445,0.063309
Marijuana Use in the Past Month,12 or Older,2015-16,Alaska,0.160335,0.140988,0.181775
Marijuana Use in the Past Month,12 or Older,2015-16,Arizona,0.074168,0.062349,0.088017
Marijuana Use in the Past Month,12 or Older,2015-16,Arkansas,0.069839,0.058388,0.083337
Marijuana Use in the Past Month,12 or Older,2015-16,California,0.105102,0.0978,0.112882
Marijuana Use in the Past Month,12 or Older,2015-16,Colorado,0.159223,0.140902,0.179428
Marijuana Use in the Past Month,12 or Older,2015-16,Connecticut,0.093567,0.079942,0.109238
Marijuana Use in the Past Month,12 or Older,2015-16,Delaware,0.088834,0.076035,0.103546
Marijuana Use in the Past Month,12 or Older,2015-16,District of Columbia,0.140774,0.123309,0.16026
Marijuana Use in the Past Month,12 or Older,2015-16,Florida,0.076496,0.069344,0.084318
Marijuana Use in the Past Month,12 or Older,2015-16,Georgia,0.072182,0.062395,0.083368
Marijuana Use in the Past Month,12 or Older,2015-16,Hawaii,0.081842,0.069255,0.09648
Marijuana Use in the Past Month,12 or Older,2015-16,Idaho,0.069299,0.057646,0.083101
Marijuana Use in the Past Month,12 or Older,2015-16,Illinois,0.079019,0.070655,0.088278
Marijuana Use in the Past Month,12 or Older,2015-16,Indiana,0.08748,0.074596,0.102343
Marijuana Use in the Past Month,12 or Older,2015-16,Iowa,0.054712,0.044969,0.066418
Marijuana Use in the Past Month,12 or Older,2015-16,Kansas,0.069145,0.05806,0.082162
Marijuana Use in the Past Month,12 or Older,2015-16,Kentucky,0.070233,0.059204,0.083136
Marijuana Use in the Past Month,12 or Older,2015-16,Louisiana,0.068174,0.057558,0.080581
Marijuana Use in the Past Month,12 or Older,2015-16,Maine,0.146879,0.128226,0.167724
Marijuana Use in the Past Month,12 or Older,2015-16,Maryland,0.102243,0.088567,0.117757
Marijuana Use in the Past Month,12 or Older,2015-16,Massachusetts,0.11848,0.103174,0.135712
Marijuana Use in the Past Month,12 or Older,2015-16,Michigan,0.105467,0.09594,0.115819
Marijuana Use in the Past Month,12 or Older,2015-16,Minnesota,0.073224,0.061272,0.08729
Marijuana Use in the Past Month,12 or Older,2015-16,Mississippi,0.056888,0.04682,0.068963
Marijuana Use in the Past Month,12 or Older,2015-16,Missouri,0.081267,0.068956,0.095551
Marijuana Use in the Past Month,12 or Older,2015-16,Montana,0.120234,0.10459,0.137857
Marijuana Use in the Past Month,12 or Older,2015-16,Nebraska,0.072074,0.059981,0.086383
Marijuana Use in the Past Month,12 or Older,2015-16,Nevada,0.082528,0.069391,0.09789
Marijuana Use in the Past Month,12 or Older,2015-16,New Hampshire,0.120584,0.105112,0.137983
Marijuana Use in the Past Month,12 or Older,2015-16,New Jersey,0.067687,0.0583,0.07846
Marijuana Use in the Past Month,12 or Older,2015-16,New Mexico,0.104983,0.090632,0.121303
Marijuana Use in the Past Month,12 or Older,2015-16,New York,0.096829,0.088695,0.105622
Marijuana Use in the Past Month,12 or Older,2015-16,North Carolina,0.077179,0.067232,0.088459
Marijuana Use in the Past Month,12 or Older,2015-16,North Dakota,0.056105,0.046385,0.067719
Marijuana Use in the Past Month,12 or Older,2015-16,Ohio,0.0895,0.080937,0.098872
Marijuana Use in the Past Month,12 or Older,2015-16,Oklahoma,0.05988,0.049045,0.072925
Marijuana Use in the Past Month,12 or Older,2015-16,Oregon,0.157093,0.139585,0.176347
Marijuana Use in the Past Month,12 or Older,2015-16,Pennsylvania,0.082006,0.073867,0.090953
Marijuana Use in the Past Month,12 or Older,2015-16,Rhode Island,0.152132,0.13374,0.172549
Marijuana Use in the Past Month,12 or Older,2015-16,South Carolina,0.068155,0.057168,0.081073
Marijuana Use in the Past Month,12 or Older,2015-16,South Dakota,0.076026,0.063783,0.090392
Marijuana Use in the Past Month,12 or Older,2015-16,Tennessee,0.078244,0.065971,0.092574
Marijuana Use in the Past Month,12 or Older,2015-16,Texas,0.05914,0.05286,0.066115
Marijuana Use in the Past Month,12 or Older,2015-16,Utah,0.052458,0.042805,0.064141
Marijuana Use in the Past Month,12 or Older,2015-16,Vermont,0.169578,0.1498,0.19138
Marijuana Use in the Past Month,12 or Older,2015-16,Virginia,0.068569,0.059542,0.078851
Marijuana Use in the Past Month,12 or Older,2015-16,Washington,0.120198,0.103702,0.138912
Marijuana Use in the Past Month,12 or Older,2015-16,West Virginia,0.067574,0.055987,0.081351
Marijuana Use in the Past Month,12 or Older,2015-16,Wisconsin,0.073804,0.061704,0.088055
Marijuana Use in the Past Month,12 or Older,2015-16,Wyoming,0.062662,0.051466,0.076099
Marijuana Use in the Past Month,12 or Older,2016-17,Alabama,0.063712,0.052869,0.076599
Marijuana Use in the Past Month,12 or Older,2016-17,Alaska,0.15814,0.138681,0.179761
Marijuana Use in the Past Month,12 or Older,2016-17,Arizona,0.083757,0.069975,0.099962
Marijuana Use in the Past Month,12 or Older,2016-17,Arkansas,0.081925,0.068966,0.097065
Marijuana Use in the Past Month,12 or Older,2016-17,California,0.113341,0.105736,0.121419
Marijuana Use in the Past Month,12 or Older,2016-17,Colorado,0.164301,0.145043,0.185562
Marijuana Use in the Past Month,12 or Older,2016-17,Connecticut,0.105925,0.090541,0.123568
Marijuana Use in the Past Month,12 or Older,2016-17,Delaware,0.099489,0.085015,0.116114
Marijuana Use in the Past Month,12 or Older,2016-17,District of Columbia,0.171699,0.151416,0.194077
Marijuana Use in the Past Month,12 or Older,2016-17,Florida,0.086469,0.078565,0.095086
Marijuana Use in the Past Month,12 or Older,2016-17,Georgia,0.067358,0.058159,0.077893
Marijuana Use in the Past Month,12 or Older,2016-17,Hawaii,0.081679,0.06784,0.098044
Marijuana Use in the Past Month,12 or Older,2016-17,Idaho,0.076196,0.064076,0.090388
Marijuana Use in the Past Month,12 or Older,2016-17,Illinois,0.088109,0.078993,0.098165
Marijuana Use in the Past Month,12 or Older,2016-17,Indiana,0.092868,0.079621,0.10806
Marijuana Use in the Past Month,12 or Older,2016-17,Iowa,0.066451,0.05582,0.078938
Marijuana Use in the Past Month,12 or Older,2016-17,Kansas,0.066164,0.054229,0.080502
Marijuana Use in the Past Month,12 or Older,2016-17,Kentucky,0.077674,0.065299,0.092162
Marijuana Use in the Past Month,12 or Older,2016-17,Louisiana,0.075987,0.063968,0.090048
Marijuana Use in the Past Month,12 or Older,2016-17,Maine,0.158081,0.138994,0.179244
Marijuana Use in the Past Month,12 or Older,2016-17,Maryland,0.106849,0.092719,0.122841
Marijuana Use in the Past Month,12 or Older,2016-17,Massachusetts,0.133793,0.117125,0.152423
Marijuana Use in the Past Month,12 or Older,2016-17,Michigan,0.116109,0.105479,0.127658
Marijuana Use in the Past Month,12 or Older,2016-17,Minnesota,0.077112,0.065155,0.091048
Marijuana Use in the Past Month,12 or Older,2016-17,Mississippi,0.069576,0.058009,0.083245
Marijuana Use in the Past Month,12 or Older,2016-17,Missouri,0.08419,0.071304,0.099155
Marijuana Use in the Past Month,12 or Older,2016-17,Montana,0.130066,0.1132,0.149023
Marijuana Use in the Past Month,12 or Older,2016-17,Nebraska,0.077046,0.064956,0.091167
Marijuana Use in the Past Month,12 or Older,2016-17,Nevada,0.118067,0.101534,0.136881
Marijuana Use in the Past Month,12 or Older,2016-17,New Hampshire,0.128954,0.112363,0.147588
Marijuana Use in the Past Month,12 or Older,2016-17,New Jersey,0.071463,0.061494,0.082906
Marijuana Use in the Past Month,12 or Older,2016-17,New Mexico,0.119591,0.103296,0.138061
Marijuana Use in the Past Month,12 or Older,2016-17,New York,0.09472,0.086597,0.103519
Marijuana Use in the Past Month,12 or Older,2016-17,North Carolina,0.079241,0.069159,0.090648
Marijuana Use in the Past Month,12 or Older,2016-17,North Dakota,0.06437,0.053104,0.077829
Marijuana Use in the Past Month,12 or Older,2016-17,Ohio,0.085778,0.077081,0.095355
Marijuana Use in the Past Month,12 or Older,2016-17,Oklahoma,0.068974,0.057152,0.083026
Marijuana Use in the Past Month,12 or Older,2016-17,Oregon,0.192285,0.172183,0.214126
Marijuana Use in the Past Month,12 or Older,2016-17,Pennsylvania,0.082274,0.073574,0.091901
Marijuana Use in the Past Month,12 or Older,2016-17,Rhode Island,0.157492,0.138345,0.178739
Marijuana Use in the Past Month,12 or Older,2016-17,South Carolina,0.06658,0.055251,0.080036
Marijuana Use in the Past Month,12 or Older,2016-17,South Dakota,0.071334,0.059665,0.085079
Marijuana Use in the Past Month,12 or Older,2016-17,Tennessee,0.079991,0.067297,0.094837
Marijuana Use in the Past Month,12 or Older,2016-17,Texas,0.059768,0.053576,0.066624
Marijuana Use in the Past Month,12 or Older,2016-17,Utah,0.062547,0.051725,0.075453
Marijuana Use in the Past Month,12 or Older,2016-17,Vermont,0.186431,0.165935,0.208825
Marijuana Use in the Past Month,12 or Older,2016-17,Virginia,0.069564,0.060192,0.08027
Marijuana Use in the Past Month,12 or Older,2016-17,Washington,0.15298,0.134147,0.173926
Marijuana Use in the Past Month,12 or Older,2016-17,West Virginia,0.075898,0.063528,0.090443
Marijuana Use in the Past Month,12 or Older,2016-17,Wisconsin,0.078938,0.065818,0.094408
Marijuana Use in the Past Month,12 or Older,2016-17,Wyoming,0.071007,0.058908,0.085366
Marijuana Use in the Past Month,12 or Older,2017-18,Alabama,0.083115,0.070105,0.098285
Marijuana Use in the Past Month,12 or Older,2017-18,Alaska,0.165557,0.146363,0.186717
Marijuana Use in the Past Month,12 or Older,2017-18,Arizona,0.10925,0.091956,0.129334
Marijuana Use in the Past Month,12 or Older,2017-18,Arkansas,0.085969,0.072028,0.102311
Marijuana Use in the Past Month,12 or Older,2017-18,California,0.119674,0.111923,0.127884
Marijuana Use in the Past Month,12 or Older,2017-18,Colorado,0.173288,0.152923,0.195738
Marijuana Use in the Past Month,12 or Older,2017-18,Connecticut,0.120605,0.104122,0.139293
Marijuana Use in the Past Month,12 or Older,2017-18,Delaware,0.11161,0.095376,0.130209
Marijuana Use in the Past Month,12 or Older,2017-18,District of Columbia,0.166317,0.145443,0.189523
Marijuana Use in the Past Month,12 or Older,2017-18,Florida,0.0928,0.084404,0.101938
Marijuana Use in the Past Month,12 or Older,2017-18,Georgia,0.082277,0.072103,0.093741
Marijuana Use in the Past Month,12 or Older,2017-18,Hawaii,0.087976,0.073874,0.104467
Marijuana Use in the Past Month,12 or Older,2017-18,Idaho,0.082135,0.069181,0.097262
Marijuana Use in the Past Month,12 or Older,2017-18,Illinois,0.096449,0.087031,0.106766
Marijuana Use in the Past Month,12 or Older,2017-18,Indiana,0.102046,0.08767,0.118473
Marijuana Use in the Past Month,12 or Older,2017-18,Iowa,0.070381,0.05905,0.083693
Marijuana Use in the Past Month,12 or Older,2017-18,Kansas,0.063436,0.051861,0.077384
Marijuana Use in the Past Month,12 or Older,2017-18,Kentucky,0.081946,0.069067,0.096978
Marijuana Use in the Past Month,12 or Older,2017-18,Louisiana,0.076903,0.064348,0.091667
Marijuana Use in the Past Month,12 or Older,2017-18,Maine,0.165702,0.144748,0.189019
Marijuana Use in the Past Month,12 or Older,2017-18,Maryland,0.098969,0.083796,0.116539
Marijuana Use in the Past Month,12 or Older,2017-18,Massachusetts,0.136039,0.118556,0.155645
Marijuana Use in the Past Month,12 or Older,2017-18,Michigan,0.126119,0.115349,0.137737
Marijuana Use in the Past Month,12 or Older,2017-18,Minnesota,0.094813,0.080379,0.111525
Marijuana Use in the Past Month,12 or Older,2017-18,Mississippi,0.069843,0.057662,0.084368
Marijuana Use in the Past Month,12 or Older,2017-18,Missouri,0.085689,0.072317,0.101263
Marijuana Use in the Past Month,12 or Older,2017-18,Montana,0.144592,0.127323,0.163764
Marijuana Use in the Past Month,12 or Older,2017-18,Nebraska,0.082057,0.069343,0.096858
Marijuana Use in the Past Month,12 or Older,2017-18,Nevada,0.150501,0.130382,0.173106
Marijuana Use in the Past Month,12 or Older,2017-18,New Hampshire,0.142448,0.124045,0.163074
Marijuana Use in the Past Month,12 or Older,2017-18,New Jersey,0.078872,0.068201,0.091049
Marijuana Use in the Past Month,12 or Older,2017-18,New Mexico,0.129785,0.110791,0.15148
Marijuana Use in the Past Month,12 or Older,2017-18,New York,0.097652,0.089182,0.106834
Marijuana Use in the Past Month,12 or Older,2017-18,North Carolina,0.077933,0.067586,0.089711
Marijuana Use in the Past Month,12 or Older,2017-18,North Dakota,0.076167,0.063776,0.090732
Marijuana Use in the Past Month,12 or Older,2017-18,Ohio,0.083445,0.074876,0.092897
Marijuana Use in the Past Month,12 or Older,2017-18,Oklahoma,0.075126,0.062624,0.089886
Marijuana Use in the Past Month,12 or Older,2017-18,Oregon,0.188284,0.167385,0.21113
Marijuana Use in the Past Month,12 or Older,2017-18,Pennsylvania,0.083776,0.074755,0.093774
Marijuana Use in the Past Month,12 or Older,2017-18,Rhode Island,0.146458,0.127878,0.16722
Marijuana Use in the Past Month,12 or Older,2017-18,South Carolina,0.083202,0.069401,0.099454
Marijuana Use in the Past Month,12 or Older,2017-18,South Dakota,0.071156,0.059687,0.084629
Marijuana Use in the Past Month,12 or Older,2017-18,Tennessee,0.085478,0.07198,0.10123
Marijuana Use in the Past Month,12 or Older,2017-18,Texas,0.060643,0.054394,0.067559
Marijuana Use in the Past Month,12 or Older,2017-18,Utah,0.060574,0.050382,0.07267
Marijuana Use in the Past Month,12 or Older,2017-18,Vermont,0.192969,0.171718,0.216164
Marijuana Use in the Past Month,12 or Older,2017-18,Virginia,0.07274,0.063168,0.083632
Marijuana Use in the Past Month,12 or Older,2017-18,Washington,0.16395,0.144719,0.185182
Marijuana Use in the Past Month,12 or Older,2017-18,West Virginia,0.094153,0.079462,0.111231
Marijuana Use in the Past Month,12 or Older,2017-18,Wisconsin,0.088928,0.074252,0.106174
Marijuana Use in the Past Month,12 or Older,2017-18,Wyoming,0.07732,0.064755,0.092083
